发布时间,问题,回答
1296660190,你认为C#在实现跨平台后是否有很大的发展？C#与其他语言混合编程是否会成为主流？, C# 始终都是微软自己的东西，Windows 平台才是主力战场，跨平台只是一个吸引人的糖果，它不能充饥。不看好有更巨大的发展。<br><br>混合编程是为了结合不同语言的优点，应用的情况要看需求和相关语言库的成熟度，是否主流还是要看微软的推广力度，我不太看好。<br><br>C# 平台真的不熟悉，乱说一气。 
1296710000,黄继新是谁？, 喜欢坏笑、精力旺盛、擅长感染周围人的有为男青年。<br><br>口语表达的风格跟文字不同，但一样棒。 
1296716283,知乎可以分类通知吗？, 当通知数量较多时，现在的设计确实让人抓狂。我们已经着手修改它，分类是很好的提议，很有可能最终的设计会支持分类。 
1296792818,别人的定向提问，也可以修改吗？, 确实有点奇怪，关于问题修改，我们将做出一些调整。 
1296822448,知乎为什么不提供手机客户端？, 手机客户端开发是一个比较耗费精力的工作，知乎团队的开发资源有限，我们的工作表也已经排出2、3个月之后了，所以，客户端的事情还会往后延。<br><br>我们还是考虑到了手持设备访问的需求，目前大部分的功能可在 iOS 平台的浏览器使用，后续将增加支持其他系统。 
1296826001,为何知乎在我的 iPad 上，浏览器竖版时右侧显示不完整？, 是 iPad 设备的识别问题，这个样式错误会跟回答的编辑器一起修正。 
1296913437,百度的软肋是什么？, 对搜索的依赖。 
1296916739,为什么在知乎个人主页修改话题经验后无法保存？,<b>UPDATE: 已经正常可用</b><br><br>很抱歉。这是一个 Bug。<br>（希望我这样的歉意会越来越少）<br><br>另，其实你提交的话题经验都被保存下来了，是没有正确显示出来。 
1296961183,为什么无法添加 flickr 这个话题?, 抱歉，这是管理员考虑到大小写的问题，将 flickr 这个话题删除了。<br><br>现在已经可以添加。 
1296990447,随着我提的问题回答的问题关注的问题增多，收到的通知也在增多，知乎打算怎样对通知进行聚合呢？, 对于通知数量增多的问题，我们目前的考虑是：<br><ul><li>合并「某人关注你」为一条，比如显示为「8人关注你」，点击后显示详细</li><li>根据问题合并「某人回答了某问题」、「某人评论了某问题」和「某人赞同/感谢你在某问题的回答」</li></ul><br><br>希望听到大家伙的建议。 
1296994486,为什么在 Android 2.2 中，知乎的首页字面超小，放大之后，需要拖拽才能完成操作？, 非常感谢提的这个问题，而且还有这么细致的截图。<br><br>「知乎」目前只针对 iOS 做了专门优化，Android 上看到的页面跟 PC 浏览器是一样的，会完整显示，字体也就「变」小了。<br><br>请放心，我们会尽快对 Android 浏览器做优化。 
1297006106,为什么提交回答的时候，加载中放在页面左边，而不是该回答将要出现的位置？, 我换个角度说这个问题。最初有一个想法是，初期系统速度应该比较快，「加载中」一闪而过，不会是关注的重点。现在因为系统设计上的问题，导致答案提交的响应时间过长，这个「加载中」的问题凸显了。<br><br>我们的目标还是想让每次点击响应时间更短，让「加载中」不易被发现。<br>当然，根据大家的建议，我们也会对「加载中」做出调整。 
1297047326,我怎么才能找到我想关注的人？, 现在「知乎」上发现潜伏的专家和牛人确实很难，目前可用的办法可参看 @张亮 和 @张鼎 的答案，我们已经着手改善这种状况，请静待。<br><br>功能可用后，我将更新此答案。 
1297047556,我怎么找到我想关注的人？," 此问题确实重复问了，请参考 <a href=""http://www.zhihu.com/question/19557557"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">7557</span><span class=""ellipsis""></span></a> "
1297049270,在个人首页、话题页和问题页上的关注人列表里，头像为什么不加注名字？, 除了 @梁海 说到的鼠标悬停办法能查看人名，其实点击「X 人关注了该问题」、「关注我的人」和「我关注的人」上的链接，可以进入关注列表详细查看。 
1297079977,知乎现在最缺少什么？能否让用户分类管理自己关注的问题和话题？, 抱歉现在让你面对一个「无语」的知乎，这种问答社区模式很新，我们也在不断摸索和改善中，请相信有天你能用上一个「有语」的知乎。 
1297162462,知乎的回答编辑器中是空的，为什么也会自动保存草稿？, 这其实是我们的一个刻意设计：<br>我们认为，如果一个用户有兴趣回答某个问题，很有可能会去点击回答编辑器，即便没输入任何内容，我们也将启动草稿自动保存，目的是帮助 Mark 一下，在「我的草稿」中很容易找到。<br>如果确实没有兴趣回答，清除草稿也很容易的事情，只需轻轻一点。 
1297213625,知乎的 iPhone 优化版是直接在 Mobile Safari 上输入 www.zhihu.com？, 是的。<br><br>「知乎」会自动判断是 iPhone 还是普通 PC。 
1297214154,李老师，我究竟有没有您的联系方式？, 周老师，我猜测是我在你通信录的优先级不高，所以总被 Gmail「藏」起来 ：）<br>稍后我多发几封信，自升优先级吧。 
1297220845,知乎邀请他人回答问题时为什么只是搜索，不能列出用户关注人的头像进行选择，这样方便吗？, 基本上，你是熟悉或者知道被邀请人的名字的，在进行搜索的时候，我们会优先把你关注的人找出来。<br>把所有关注的人都列出来，这对于有几百或几千关注人的用户是很痛苦的 ：） 
1297226271,你有碰到过，正在回答的问题如果没有回答打完，误操作跳出网页，进入我的草稿看，结果内容一栏空空如也吗？, 草稿自动保存是每 30 秒执行一次，如果在页面停留时间较短，是有可能没触发草稿保存的。<br>后续我们将进一步改善，在页面离开或后退时触发草稿保存。 
1297227886,2 票的答案排在 4 票的答案前，知乎对答案排序的依据是什么？, 目前「知乎」答案的排序跟 赞同票、不赞同票 和 「没有帮助」有关系，默认只显示赞同的票数，继新的答案排在后面，应该是被「不赞同」或者「没有帮助」了。 
1297228962,怎样删除一条「对仅他（一人）可以回答的提问」？," 目前还只能管理员删除问题。<br><br>另请参考，<a href=""http://www.zhihu.com/question/19555326"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">5326</span><span class=""ellipsis""></span></a> "
1297234465,知乎使用了哪些框架和开源库？,<ul><li><b>Tornado</b>  我们的基础开发框架，稍做修改</li><li><b>Sqlalchemy</b>  SQL toolkit and Object Relational Mapper for Python</li><li><b>Redis-Py</b>  Redis Python Client </li></ul>
1297235171,是否首页上应该能够看见自己提的问题动态？, 首页的 Feeds 是用户获取信息的重要方式，我们希望不断改善让其出现的每一条都体现价值，自己的提问这种信息在自己首页显示其实略显重复，它会出现在其他用户的首页，这就够了。 
1297235705,除了首页的“你可能感兴趣的人或话题”，社交问答网站在哪些细节上还可以作出“个性化推荐”？,<ul><li>相关问题<br></li><li>首页「最新动态」</li><li>首页「你关心的问题」</li><li>推荐回答人</li></ul>
1297236078,知乎的CEO是谁？," 请参考 <a href=""http://www.zhihu.com/question/19551394"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">1394</span><span class=""ellipsis""></span></a> "
1297260718,知乎为什么这么慢？,<b>UPDATE：知乎已转移回国内服务器，请大家继续反馈速度问题。</b><br><br><b>转移之前的回答：</b><br>知乎现在访问速度很慢，有几点原因：<br><ul><li>用户增多，访问数量成倍增长<br></li><li>服务器在国外，带宽有限制，服务器配置低<br></li><li>数据增多，一些低效的代码成为瓶颈<br></li></ul><br><u>另有重要通知：为改善大家访问知乎的速度，今晚（2月10日凌晨3点-6点）我们将把服务转移回国内，届时会停止服务，请大家谅解。</u><br><br>请大家相互转告（可通过「赞同」此答案的方式互相传递）。 
1297260922,为什么知乎用起来速度越来越慢了？," 我们将很快改善。<br>请参考 <a href=""http://www.zhihu.com/question/19558287#6973"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">8287#6973</span><span class=""ellipsis""></span></a> "
1297288356,2月10日凌晨知乎停机是系统升级吗？有哪些更新？," 停机是因为近几天的「知乎」访问速度下降很快，我们提前把服务器迁回国内，比较突然，所以仅在回答中进行了通知：<a href=""http://www.zhihu.com/question/19558287#6973"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">8287#6973</span><span class=""ellipsis""></span></a> <br><br>这次更新主要是访问速度上的优化，其他还包括针对 iOS 设备的优化（iPad 可回答问题、「添加至主屏幕」定制图标）。<br><br>给大家带来不愉快的体验，敬请谅解。 "
1297288794,知乎什么时候支持iPad上的回复跟修改?, 已经可用 ：） 
1297353079,知乎上发问题重复了，为什么不能删除？," 请参见 <a href=""http://www.zhihu.com/question/19554374"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">4374</span><span class=""ellipsis""></span></a> "
1297482098,知乎的邀请邮件有有效期吗？发邀请时写错了邮箱地址，怎么办？, 知乎的邀请邮件没有过期时间，也就是说，你的朋友想什么时候进来都行。<br><br>如果邀请的邮箱地址写错了，是不能修正的，因为发出的同时，已经邮件给对方了。 
1297485453,知乎团队是否会考虑点击问题列表应该弹出新窗口？, 可以使用 Ctrl 或者 Command(Mac) 键配合点击，弹出新窗口(Tab)。<br><br>当初这么设计有一个考虑是同时可适应两种用户：希望弹出新窗口的、愿意停留在本窗口的，如果默认弹出，后者用户将不能得到满足，会让不少人(比如我)抓狂的。 
1297487159,知乎有考虑增加“发帖”功能吗？, 暂时还未考虑增加。<br><br>在问答功能上，我们还有不少工作要做，希望先把这部分做好。 
1297488558,知乎有没有更创新的方式来管理重复问题？, 重复问题在开始产品设计时已有考虑，随着数据量的变化，肯定要不断调整。<br><br>未来考虑加入的功能包括：<br><ul><li>问题重定向</li><li>提交新问题前的相关性搜索</li><li>问题合并</li></ul>
1297502400,知乎是否已经忽略了 IE6 的用户群？, 我们大致考虑过，初始用户使用 IE6 的概率不高，从目前的访问数据来看，也确实如此。<br><br>因此，我们支持的浏览器中，没有 IE6，未来也很难有。 
1297507737,求知乎邀请5个～找谁呢～, 稍后将根据计算统一发放。 
1297530484,知乎有没有考虑做一个「返回顶部」的按钮？, 有想过这个问题，但目前「知乎」上大部分页面没有长到一定程度，基本鼠标滑动两三次、触摸板轻触一下、iPhone 轻点顶栏 都能回到页面顶部，除非你点击了 n 次「更多」。<br><br>如果增加，会考虑用一种不易察觉的方式。 
1297565371,为什么“你可能感兴趣的人或话题”显示的始终是知乎团队成员而不会变化呢，其它的用户看到的也是这样吗？, 「你可能感兴趣的人或话题」的数据来自你关注的人，每次页面刷新并不会随机变化，除非你把鼠标放上去，点击出现的「不感兴趣」小叉。<br><br>这个功能确实有些问题，我们正在调整。 
1297602973,知乎头像为什么大量出现照片不存在或已删除的 Yupoo 提示？,<b><u>2月16日更新：<br>上传功能恢复。这次事件给大家的使用带来不便，向大家致歉。</u></b><br><b></b><br>2月14日更新：<br>上午11点，「又拍」的同学帮忙找回了图片，并恢复了外链访问。我们也将图片重新备份，并开始修正相关错误，上传功能依旧暂停，将在两日内恢复。<br><br>2月13日晚更新：<br>导致「又拍」账户被访问的原因已找到，因涉及第三方服务，头像不能在今日（2月13日）恢复。我们将保证在图片文件找回的情况下，自动帮大家恢复原头像，此期间，上传功能暂停，请谅解。<br>（同样请各位「赞同」此答案，让其他人都知道这个情况）<br><br>2月13日下午4点多，我们托管在「又拍」的账户被非正常访问了，所有用户的头像图片被删除，现在我们正全力找回图片文件。 
1297682134,知乎的头像为什么托管在 Yupoo ？ 不考虑自已存储？, 当时选择「又拍」做为图片托管，出于以下考虑：<br><ul><li>专心做好核心逻辑，将通用功能外包出去</li><li>服务器当时在国外，上传延迟严重</li><li>国内没有更好的图片托管，「又拍」算不错的</li></ul><br><br>当然，上线以来遇到了一些问题，我们将会做些调整，提供更稳定的服务。 
1297682245,知乎头像怎么换不了了？为什么不自己存储头像呢？," 头像不能换，请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a><br>不自己存储，请参考 <a href=""http://www.zhihu.com/question/19560733"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0733</span><span class=""ellipsis""></span></a> "
1297693489,知乎是否可以将用户被赞成、被感谢、被邀请的数据展现出来？, 感谢提供这个建议。<br>现在用户的个人页面还不太清晰，一些有价值的数据也没有体现（比如提到的被赞成数量），我们正在重新设计它，请静待变化。 
1297697216,知乎上的开放性问题在增多么？, 是的，我也发现有这样的趋势。<br>开放性的问题容易引起讨论，引发不同角度的有价值声音，这些信息在搜索引擎上是很难发现的。说明知乎用户在「恰当」地使用知乎，这么看，是好现象。 
1297697489,知乎首页的噪音是否太大？, 首页的改进会是一个长期持续的过程，目前确实存在很多噪音。<br><br>「同一问题因为不用原因多次出现」这个问题的症结之一还是在于关注了过多的人，加上知乎的实时+通知系统，会在短时期内引起一个不错问题上的数次动作。试想如果在微博上，你关注了非常多的人，看到同一条转发消息的概率肯定是很高的。<br><br>「忽略此问题」已经排上开发日程了。 
1297701577,知乎头像总么设置?知乎的问题有没有领域分类?素偶太笨末?,<b>头像功能已恢复，快换一个吧。</b><br><br>知乎问题有话题分类。<br>你不笨，是我们产品要改进。<br>下次别一块问这么多了，一个一个问吧。 
1297734876,知乎如何修改个人头像？," 上传功能已经恢复，具体操作方法请看 @范泽一 同学的说明。<br><br>这次事件的详细情况请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a> "
1297741235,知乎好多图片被yupoo给删了还是流量用完了？," 知乎的图片是被删除了，是因为之前的头像上传代码存在安全问题，导致我们的「又拍」账户被非正常访问了，进入账户的人做了错误的操作，不是恶意操作。<br><br>安全问题已修复，上传功能已经恢复。请参考 <a href=""http://www.zhihu.com/question/19560448"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">0448</span><span class=""ellipsis""></span></a> "
1297749540,知乎是否能接受开放性的问题？," 知乎接受开放性问题。<br>知乎鼓励用户多贡献有价值的观点和经验。<br><br>另可参考：<a href=""http://www.zhihu.com/question/19561070"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1956</span><span class=""invisible"">1070</span><span class=""ellipsis""></span></a> "
1297921492,知乎已注册用户可以修改电子邮件地址吗？, 暂时还不行，未来是可以的。 
1297968089,创业早期，你最兴奋的事情有哪些？还记得吗？, 兴奋的事情不少，包括：<br><ul><li>找到志同道合的团队成员</li><li>想出一个自认完美的产品方案</li><li>产品冲刺时，大家一起工作到凌晨</li></ul><br>要说「最」兴奋的还是产品上线，并且开始有人使用了。 
1298018121,如果答案被投了“没有帮助”而被隐藏了，怎样可以让这个答案重新浮出？, 「没有帮助」是一个相对硬性的指标，目前是不能通过投赞成票重新浮现的。<br><br>以后会加入赞同票的计算，以及跟管理员申述的方式，来重现答案。 
